"id","UDALERRIA_KODEA/COD_MUNICIPIO","UDALERRIA/MUNICIPIO","EKITALDIA/EJERCICIO","EDUKIONTZI_KODEA/COD_CONTENEDOR","EDUKIONTZIAREN MODELOA_CAS/MODELO CONTENEDOR_CAS","HONDAKINAREN FRAKZIOA_CAS/FRACCION DEL RESIDUO_CAS","longitude","latitude","horaMin","horaMax"
760,14,"BARRIKA",2020,15,"CARGA VERTICAL","ENVASES LIGEROS","503517,27","4805349,25",0,23
761,14,"BARRIKA",2020,17,"CARGA VERTICAL","ENVASES LIGEROS","502823,51","4805860,13",0,23
762,14,"BARRIKA",2020,19,"CARGA VERTICAL","ENVASES LIGEROS","503083,52","4806251,51",0,23
763,14,"BARRIKA",2020,20,"CARGA VERTICAL","ENVASES LIGEROS","502833,46","4805962,07",0,23
764,14,"BARRIKA",2020,21,"CARGA VERTICAL","ENVASES LIGEROS","502565,5","4805795,96",0,23
765,14,"BARRIKA",2020,23,"CARGA VERTICAL","ENVASES LIGEROS","502567,97","4804476,87",0,23
766,15,"BASAURI",2020,1,"CARGA VERTICAL","ENVASES LIGEROS","510216,79","4786351,13",0,23
767,15,"BASAURI",2020,1,"CARGA VERTICAL","ENVASES LIGEROS","509535,82","4787170,83",0,23
768,15,"BASAURI",2020,3,"CARGA VERTICAL","ENVASES LIGEROS","509490,82","4787350,78",0,23
769,15,"BASAURI",2020,4,"CARGA VERTICAL","ENVASES LIGEROS","509571,66","4787461,39",0,23
770,15,"BASAURI",2020,5,"CARGA VERTICAL","ENVASES LIGEROS","509649,68","4787514,84",0,23
771,15,"BASAURI",2020,6,"CARGA VERTICAL","ENVASES LIGEROS","509108,13","4787376,3",0,23
772,15,"BASAURI",2020,7,"CARGA VERTICAL","ENVASES LIGEROS","509736,17","4787415,78",0,23
773,15,"BASAURI",2020,8,"CARGA VERTICAL","ENVASES LIGEROS","509759,36","4787487,98",0,23
774,15,"BASAURI",2020,9,"CARGA VERTICAL","ENVASES LIGEROS","509770,24","4787273,59",0,23
775,15,"BASAURI",2020,10,"CARGA VERTICAL","ENVASES LIGEROS","509739,15","4787234,16",0,23
776,15,"BASAURI",2020,11,"CARGA VERTICAL","ENVASES LIGEROS","509905,92","4787200,44",0,23
777,15,"BASAURI",2020,12,"CARGA VERTICAL","ENVASES LIGEROS","510021,4","4787346,99",0,23
778,15,"BASAURI",2020,13,"CARGA VERTICAL","ENVASES LIGEROS","509020,98","4787407",0,23
